location,year,pathogen,antibiotic,n_tested,n_resistant
Afghanistan,2019,E.coli,cefotaxime,12,8
Afghanistan,2019,E.coli,ceftazidime,14,3
Afghanistan,2019,E.coli,ceftriaxone,27,19
Afghanistan,2019,E.coli,trimethoprim/sulfamethoxazole,16,11
United Arab Emirates,2017,Acinetobacter,amikacin,29,6
United Arab Emirates,2017,Acinetobacter,colistin,24,2
United Arab Emirates,2017,Acinetobacter,gentamicin,67,27
United Arab Emirates,2017,Acinetobacter,imipenem,65,29
United Arab Emirates,2017,Acinetobacter,meropenem,68,29
United Arab Emirates,2017,Acinetobacter,minocycline,35,7
United Arab Emirates,2017,E.coli,ampicillin,623,477
United Arab Emirates,2017,E.coli,cefepime,457,98
United Arab Emirates,2017,E.coli,cefotaxime,532,254
United Arab Emirates,2017,E.coli,ceftazidime,633,201
United Arab Emirates,2017,E.coli,ceftriaxone,136,71
United Arab Emirates,2017,E.coli,ciprofloxacin,628,304
United Arab Emirates,2017,E.coli,colistin,31,0
United Arab Emirates,2017,E.coli,ertapenem,357,11
United Arab Emirates,2017,E.coli,imipenem,620,9
United Arab Emirates,2017,E.coli,levofloxacin,31,9
United Arab Emirates,2017,E.coli,meropenem,639,10
United Arab Emirates,2017,E.coli,tinidazole,136,71
United Arab Emirates,2017,E.coli,trimethoprim/sulfamethoxazole,634,342
United Arab Emirates,2017,K.pneumoniae,cefepime,353,81
United Arab Emirates,2017,K.pneumoniae,cefotaxime,396,125
United Arab Emirates,2017,K.pneumoniae,ceftazidime,495,140
United Arab Emirates,2017,K.pneumoniae,ceftriaxone,119,57
United Arab Emirates,2017,K.pneumoniae,ciprofloxacin,486,116
United Arab Emirates,2017,K.pneumoniae,ertapenem,259,29
United Arab Emirates,2017,K.pneumoniae,imipenem,476,47
United Arab Emirates,2017,K.pneumoniae,levofloxacin,32,13
United Arab Emirates,2017,K.pneumoniae,meropenem,495,63
United Arab Emirates,2017,K.pneumoniae,trimethoprim/sulfamethoxazole,496,162
United Arab Emirates,2017,Salmonella,cefotaxime,59,1
United Arab Emirates,2017,Salmonella,ceftazidime,67,0
United Arab Emirates,2017,Salmonella,ceftriaxone,40,1
United Arab Emirates,2017,Salmonella,ciprofloxacin,69,26
United Arab Emirates,2017,Salmonella,ertapenem,41,0
United Arab Emirates,2017,Salmonella,imipenem,66,0
United Arab Emirates,2017,Salmonella,levofloxacin,14,9
United Arab Emirates,2017,Salmonella,meropenem,71,0
United Arab Emirates,2017,S.aureus,meticillin,364,124
United Arab Emirates,2017,S.pneumoniae,benzylpenicillin,66,20
United Arab Emirates,2017,S.pneumoniae,cefotaxime,29,1
United Arab Emirates,2017,S.pneumoniae,ceftriaxone,80,0
United Arab Emirates,2017,S.pneumoniae,trimethoprim/sulfamethoxazole,59,12
United Arab Emirates,2017,Salmonella,cefotaxime,278,11
United Arab Emirates,2017,Salmonella,ceftazidime,334,10
United Arab Emirates,2017,Salmonella,ceftriaxone,227,4
United Arab Emirates,2017,Salmonella,ciprofloxacin,468,45
United Arab Emirates,2017,Salmonella,ertapenem,265,0
United Arab Emirates,2017,Salmonella,imipenem,322,0
United Arab Emirates,2017,Salmonella,levofloxacin,40,3
United Arab Emirates,2017,Salmonella,meropenem,334,0
United Arab Emirates,2017,Shigella,cefotaxime,23,8
United Arab Emirates,2017,Shigella,ceftazidime,32,2
United Arab Emirates,2017,Shigella,ceftriaxone,37,10
United Arab Emirates,2017,Shigella,ciprofloxacin,58,8
United Arab Emirates,2017,E.coli,ampicillin,8982,5869
United Arab Emirates,2017,E.coli,cefepime,6533,752
United Arab Emirates,2017,E.coli,cefotaxime,6524,2086
